"Datapoint Number","Test Time (s)","Cycle Number","Current (A)","Potential (V)","Step Index","Step Time (s)","Charge Capacity (Ah)","Discharge Capacity (Ah)","Charge Energy (Wh)","Discharge Energy (Wh)","Timestamp","dV/dt (V/s)","dQ/dV (Ah/V)","Current Cycle Net Capacity (Ah)","Current Cycle Net Energy (Wh)","Test Net Capacity (Ah)","Test Net Energy (Wh)","Test Cumulative Capacity (Ah)","Test Cumulative Energy (Wh)","Power (W)","[Maccor] Datapoint ID","[Maccor] Cycle","[Maccor] Step Index","[Maccor] Test Time (s)","[Maccor] Step Time (s)","[Maccor] Capacity (Ah)","[Maccor] Energy (Wh)","[Maccor] Current (A)","[Maccor] Potential (V)","[Maccor] State","[Maccor] Ending Status","[Maccor] Datapoint Time","[Maccor] AC Impedance (Ω)","[Maccor] Internal Resistance (Ω)","[Maccor] VAR 1","[Maccor] VAR 10","[Maccor] VAR 11","[Maccor] VAR 12","[Maccor] VAR 13","[Maccor] VAR 14","[Maccor] VAR 15","[Maccor] VAR 2","[Maccor] VAR 3","[Maccor] VAR 4","[Maccor] VAR 5","[Maccor] VAR 6","[Maccor] VAR 7","[Maccor] VAR 8","[Maccor] VAR 9"
30,48600.0,0,0.0,0.0,1,48600.0,0.0,0.0,0.0,0.0,1592370169000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,1,48600.0,48600.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 01:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,50400.0,0,0.0,0.0,1,50400.0,0.0,0.0,0.0,0.0,1592371969000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,1,50400.0,50400.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 01:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,52200.0,0,0.0,0.0,1,52200.0,0.0,0.0,0.0,0.0,1592373769000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,1,52200.0,52200.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 02:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,54000.0,0,0.0,0.0,1,54000.0,0.0,0.0,0.0,0.0,1592375569000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,1,54000.0,54000.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 02:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,55800.0,0,0.0,0.0,1,55800.0,0.0,0.0,0.0,0.0,1592377369000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,1,55800.0,55800.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 03:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,57600.0,0,0.0,0.0,1,57600.0,0.0,0.0,0.0,0.0,1592379169000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,1,57600.0,57600.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 03:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,59400.0,0,0.0,0.0,1,59400.0,0.0,0.0,0.0,0.0,1592380969000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,1,59400.0,59400.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 04:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,61200.0,0,0.0,0.0,1,61200.0,0.0,0.0,0.0,0.0,1592382769000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,1,61200.0,61200.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 04:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,63000.0,0,0.0,0.0,1,63000.0,0.0,0.0,0.0,0.0,1592384569000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0,1,63000.0,63000.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 05:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,64800.0,0,0.0,0.0,1,64800.0,0.0,0.0,0.0,0.0,1592386369000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,1,64800.0,64800.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 05:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,66600.0,0,0.0,0.0,1,66600.0,0.0,0.0,0.0,0.0,1592388169000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,1,66600.0,66600.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 06:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,68400.0,0,0.0,0.0,1,68400.0,0.0,0.0,0.0,0.0,1592389969000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,1,68400.0,68400.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 06:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,70200.0,0,0.0,0.0,1,70200.0,0.0,0.0,0.0,0.0,1592391769000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,1,70200.0,70200.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 07:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,72000.0,0,0.0,0.0,1,72000.0,0.0,0.0,0.0,0.0,1592393569000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,1,72000.0,72000.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 07:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,73800.0,0,0.0,0.0,1,73800.0,0.0,0.0,0.0,0.0,1592395370000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,1,73800.0,73800.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 08:02:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,75600.0,0,0.0,0.0,1,75600.0,0.0,0.0,0.0,0.0,1592397170000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0,1,75600.0,75600.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 08:32:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,77400.0,0,0.0,0.0,1,77400.0,0.0,0.0,0.0,0.0,1592398970000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0,1,77400.0,77400.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 09:02:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,79200.0,0,0.0,0.0,1,79200.0,0.0,0.0,0.0,0.0,1592400770000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,1,79200.0,79200.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 09:32:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,81000.0,0,0.0,0.0,1,81000.0,0.0,0.0,0.0,0.0,1592402570000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,1,81000.0,81000.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 10:02:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,82800.0,0,0.0,0.0,1,82800.0,0.0,0.0,0.0,0.0,1592404370000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,1,82800.0,82800.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 10:32:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,84600.0,0,0.0,0.0,1,84600.0,0.0,0.0,0.0,0.0,1592406170000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,1,84600.0,84600.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 11:02:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,86400.0,0,0.0,0.0,1,86400.0,0.0,0.0,0.0,0.0,1592407970000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,1,86400.0,86400.0,0.0,0.0,0.0,0.0,R,129,06/17/2020 11:32:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
